review_date,review_title,review_body_text,overall_review_rating,job_title,location,employee_flag,rating_work_life_balance,rating_compensation_benefits,rating_job_security_advancement,rating_management,rating_culture_values,pros_text,cons_text,page_number,start_offset,source_url
7 December 2025,Employer of choice for everyone,"I enjoyed the most during work-collaboration with other departments; as this would be the great platform to sharpen my communication skills, knowledge enhancement, grow in self-contidence & maturity and develop good teamwork",5,"Assistant Manager, Recruitment & Sourcing",Kuala Lumpur,former,5,5,5,4,4,"Great place to work, persomal & career growth, & good perks",Frequent re-org/rorg restructuring due to change to the top management,1,0,https://malaysia.indeed.com/cmp/Bank-Rakyat/reviews
13 February 2025,Good,"During my internship at Bank Rakyat, I had the opportunity to gain practical experience in one of Malaysia's leading cooperative banks. I was involved in various aspects of banking operations, such as customer service, handling financial products, and administrative support. This experience allowed me to enhance my communication, teamwork, and problem-solving skills while learning from experienced professionals. It provided me with valuable insights into the cooperative banking sector and contributed significantly to my personal and professional development.",5,Executive,Kuala lumpur,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Bank-Rakyat/reviews
9 September 2024,Fun and supportive workplace,"During my internship at Bank Rakyat, I had the opportunity to gain practical experience in one of Malaysia's leading cooperative banks. I was involved in various aspects of banking operations, such as customer service, handling financial products, and administrative support. This experience allowed me to enhance my communication, teamwork, and problem-solving skills while learning from experienced professionals. It provided me with valuable insights into the cooperative banking sector and contributed significantly to my personal and professional development.",5,Internship,Kuala Lumpur,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Bank-Rakyat/reviews
21 July 2024,HR and HQ is OK but CURRENT Manager is TOXIC,. typical day at work is ok . but current manager is toxic . I learn that my current manager only know how to talk . HR and HQ is ok but current manager is toxic . workplace culture not ok because senior behave like intern . the hardest part of the job is current manager is toxic . the most enjoyable part of the job is big bonus and medical expenses fully cover,3,BANK CLERK,Bintulu,current,5,5,5,1,1,big bonus,current manager is toxic,1,0,https://malaysia.indeed.com/cmp/Bank-Rakyat/reviews
17 April 2024,Too much politics,Too much politics issue between bosses which is affected the staff. Benefit overall ok. You have to be “pandai bodek” bos for better career enhancement.,3,Relationship Manager,Shah Alam,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Bank-Rakyat/reviews
27 February 2024,Great Place for work,great place to start out my career. my supervisor has been very helpful in teaching me the basics of the job to start of in the industry. Helpful colleagues as well and are willing to teach new joiners. office is great and also get to wear casual wear to the office,5,Intern,Bangsar,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Bank-Rakyat/reviews
26 February 2024,Very productive and fun workplace,"fun environment, less toxic, but not all workplace is perfect, so a little imperfections is acceptable. Staff benefits is very very good in this company. Very recommended to work.",5,Retail Sales Advisor,Kuala Lumpur,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Bank-Rakyat/reviews
16 January 2024,Productive and very friendly colleagues,"Working at Bank Rakyat as a contract executive for two years was a valuable and enriching experience. Despite the occasional stress, the knowledge gained in the field of financing was immense. The supportive and friendly nature of my colleagues significantly contributed to making the overall work environment positive. One notable aspect of the job was the yearly bonuses, which were exceptionally good. This not only served as a motivating factor but also reflected the organization's commitment to recognizing and rewarding the hard work of its employees. The acceptable overtime policy allowed for a healthy work-life balance, and the collaborative atmosphere within the bank made the workload more manageable. One of the highlights of my time at Bank Rakyat was the willingness of my colleagues to share their knowledge and expertise. The culture encouraged learning from one another, fostering a sense of teamwork and camaraderie. This collaborative approach helped me to navigate the complexities of the job more effectively and ensured a smoother integration into the organizational dynamics. Overall, my experience at Bank Rakyat was not only professionally rewarding but also personally fulfilling. The combination of a supportive work environment, generous bonuses, and the opportunity to learn from experienced colleagues made it a positive chapter in my career.",5,Executive Documentation,Shah Alam,former,4,5,4,4,4,Highly paid bonus and overtime,The system used by everyone is new and nowhere near perfect.,1,0,https://malaysia.indeed.com/cmp/Bank-Rakyat/reviews
14 December 2023,Fun workplace and colleagues,A lot of bonus even for low ranked staff. The bonus will be pro rated for the first year. Supportive colleagues. The system is a little bit old. Office politics are normal.,4,Executive,Kuala Lumpur,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Bank-Rakyat/reviews
23 May 2023,Toxic work environment,"Everything is okay. Allowance given to interns is satisfactory, however, the work culture is so toxic. People will talk behind your back and it feels like everyone hates eachother.",4,Internship Trainee,Kuala Lumpur,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Bank-Rakyat/reviews
