review_date,review_title,review_body_text,overall_review_rating,job_title,location,employee_flag,rating_work_life_balance,rating_compensation_benefits,rating_job_security_advancement,rating_management,rating_culture_values,pros_text,cons_text,page_number,start_offset,source_url
8 April 2026,Clear object,Good company and exposure for junior level. Promotion can be very fast to some work function given the person is high performer in the team or department.,4,Manager,,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Cimb-Group/reviews
20 March 2026,Productive workplace,"brilliant training initiatives, cool projects & lots of learning opportunities substandard human element when management deals with employees, poor EQ and low empathy.",4,Fusion programme,,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Cimb-Group/reviews
7 March 2026,Productive and fun workplace,Flexible working hours and supportive colleagues. Overall I think my pay are decent while workload and working culture depends on your department. Benefits wise are quite good in banking industry.,4,Credit Officer,Kuala Lumpur,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Cimb-Group/reviews
9 January 2026,Supportive boss and good colleagues,Depending on which team you are in. In some teams you generally get good colleagues who are supportive. The remuneration is also quite good. Bonus could be up to 3-4 months in general.,4,Project manager,,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Cimb-Group/reviews
8 January 2026,The good thing about the management,Management don't come to you and shouting for target. They tends to talk to you politely and keep nagging to work hard. There's this lecturing session which top management will come down and have a meeting with all sales employees at one of the branch. Expect one hour talk to persuade you work hard.,4,Personal financial consultant,Selangor,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Cimb-Group/reviews
16 December 2025,friendly and supportive team.,"This company provides a supportive and collaborative working environment where employees are encouraged to learn and grow professionally. The management is approachable, teamwork is highly valued, and there are good opportunities to gain hands-on experience and develop both technical and soft skills. Overall, it is a great place to build a strong career foundation.",5,protege,KL Sentral,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Cimb-Group/reviews
30 October 2025,Productive and fun workplace,"Good environment for fresh geas. Learn a lot from the seniors & no politics in the office as well. Everyone so kind, though workloads might be heavier for senior exec, but yeah. As entry level, this is a good starter.",5,,,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Cimb-Group/reviews
11 October 2025,Good workplace,"1) Outpatient, dental, optical, health check-up coverage, travelling claim 2) Maternity leave six months. 3) Bosses are good. 4) KPI is very agile, adjustable.",5,,,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Cimb-Group/reviews
7 September 2025,"Kpi very strict, no work life balance","Kpi very strict, no work life balance, but is very good to learn a new things but your should depend by yourself because nobody will no help your because everyone is busy",3,Customer Service Agent,,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Cimb-Group/reviews
17 July 2025,Good Benefits but Depends on Your Tolerance with the Culture,"They are offering better benefits in comparison to other companies, i.e. annual leave, medical, insurance etc. However the working culture is highly dependent on your team leads and preferences from the top management. People from banking industry may find it normal.",3,Digital Role,Menara CIMB,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Cimb-Group/reviews
