review_date,review_title,review_body_text,overall_review_rating,job_title,location,employee_flag,rating_work_life_balance,rating_compensation_benefits,rating_job_security_advancement,rating_management,rating_culture_values,pros_text,cons_text,page_number,start_offset,source_url
26 March 2026,best place to work,"work life balance, good elearning, internaltional exposure, the pay might not as high as other local bank but they pay is quite fair. some management are suck but you might meet some great management, all depend on your luck.",4,manager,Malaysia,former,0,0,0,0,0,"work life balance, good elearning",low increament,1,0,https://malaysia.indeed.com/cmp/HSBC/reviews
25 November 2025,Good benefit,"Good benefit, good exposure, best enviroment, good bonus and everything. Supportive bosses, ceo , staff . Work there for 1 year. Cons workload is alot",5,Banker,Trx,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/HSBC/reviews
3 November 2025,Uncertain commission,"Pay commission quarterly, if u got certain amount on this quarter. Doesnt mean next quarter are the same even u achieved 100% kpi. When ask, always ends up with more question than answers",3,Mobile banker,Klang valley,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/HSBC/reviews
31 October 2025,Depends on department,"Environment was good. Colleague helpful. Lots of benefits. Management would be depends on your dept. If you got a good boss, then its your luck. Hsbc pay good salary.",5,Contact centre representative,Kuala Lumpur,former,3,5,5,4,4,"Salary, benefits","Shift, management leader",1,0,https://malaysia.indeed.com/cmp/HSBC/reviews
31 October 2025,Depends on department,"Environment was good. Colleague helpful. Lots of benefits. Management would be depends on your dept. If you got a good boss, then its your luck. Hsbc pay good salary.",5,Contact centre representative,Kuala Lumpur,former,3,5,5,4,4,"Salary, benefits","Shift, management leader",1,0,https://malaysia.indeed.com/cmp/HSBC/reviews
25 October 2025,Teamwork,Daily task have to be completed on time but don't worry because your colleagues will help you anyway when you need it. Teamwork is always there in the bank industry.,5,Time scale clerk,Kuala Lumpur,former,5,5,5,5,5,,,1,0,https://malaysia.indeed.com/cmp/HSBC/reviews
12 September 2025,Toxic,"limited support and some bias in how situations are handled, especially concerning differences in religion. At times, certain staff members have spoken harshly or disrespectfully toward others, yet no action was taken to address it. For personal growth, it would help if staff are encouraged to practice discipline and self-development. Additionally, there appears to be a lack of transparency in commission structures, with practices that may unintentionally favor certain individuals. Clearer, fairer systems would build more trust and motivation among the team. Career growth no unless you are chinese",1,Sales staff,Malaysia,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/HSBC/reviews
28 August 2025,Great collaborative culture,"Good work life balance great compensation. However, team is very lean, therefore it can be stressful at times and things are fast paced. Team mates are knowledgeable and helpful.",5,,,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/HSBC/reviews
13 June 2025,Na,Good work culture Good boss Good working environment Good colleagues Got engagement between team members Workload is heavy but can learn a lot of knowledge,5,,,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/HSBC/reviews
13 May 2025,Fun place to work,"best work environment, encourage speak-up culture, management and colleagues are friendly and helpful. Learn a lot from them. The staff benefits were good.",5,CCSS Senior Team Manager,Kuala Lumpur,former,4,5,5,5,5,strong staff engagement,Remuneration not as expectation,1,0,https://malaysia.indeed.com/cmp/HSBC/reviews
18 April 2025,Productive and fun workplace,"My internship experience has been incredibly rewarding. I had the chance to work on real-world projects, apply my skills, and learn from talented professionals. The team was supportive and always willing to offer guidance, helping me grow both personally and professionally. I gained valuable insights into marketing and developed a stronger foundation for my career. Overall, this experience has been enriching, and I’m grateful for the opportunity to have been part of such a dynamic environment.",4,Intern,,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/HSBC/reviews
