review_date,review_title,review_body_text,overall_review_rating,job_title,location,employee_flag,rating_work_life_balance,rating_compensation_benefits,rating_job_security_advancement,rating_management,rating_culture_values,pros_text,cons_text,page_number,start_offset,source_url
19 January 2026,Ok,"overall not bad, training provided, attractive remuneration package but need to work overtime most of the time for my role, quite challenging for my role",5,Banker,,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Ocbc-3/reviews
18 October 2025,"Stressful, Unfair","The O & T dept employees made me too shame to work together. They took advantage to bully me and asked me to leave the company, other colleagues she treated well. Whenever I had a problem in my works, they asked me to solve it myself. I felt stress and harmful to continue my job, lastly I suggested to leave the organization.",1,Teller,Alor Setar,former,1,3,3,1,1,None,"Shame, unfair, hurting, unhumanity",1,0,https://malaysia.indeed.com/cmp/Ocbc-3/reviews
27 May 2025,"OCBC is a stable, growth-oriented bank that values people and innovation.","Pros: Supportive Work Environment: Encouraging leadership and helpful colleagues foster a positive workplace culture. Career Development: Offers structured training programs and opportunities for internal mobility. Innovation-Driven: Focus on digital transformation makes it an exciting place for tech-savvy professionals. Customer-Centric Values: Strong emphasis on delivering quality service, which builds purpose in daily work. Work-Life Balance: Reasonable workload and flexible arrangements support personal well-being. Recognition & Ownership: Employees are empowered to lead initiatives and recognized for their contributions. Cons: Pace of Change: Decision-making can sometimes be slower due to the size of the organization. Cross-Functional Collaboration: While encouraged, it may face occasional resistance due to siloed structures. Competitive Progression: Career advancement can be competitive in certain departments.",3,,,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Ocbc-3/reviews
5 May 2025,High inbound rate and very stressful,"As a fresh grad I thought would capable to learn something , but they failed my expectations, too stressful and unable to handle it, very very lousy management",2,Contact Center Representative,Malaysia,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Ocbc-3/reviews
1 May 2025,Good experience,Good experience Various benefits and care on employee. Have 7 days block leave every year to get away from work. Many other benefits for claim as well and,5,,,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Ocbc-3/reviews
23 February 2025,Best place to have an internship,"HR is so helpful, usually remain in the company after internship. Everyone is welcoming and even the ceo are greeting interns in a friendlt manner. Best learning experience.",5,Intern,Kuala Lumpur,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Ocbc-3/reviews
30 July 2024,A good start for fresh graduate,Colleagues were very helpful. Provide a lot of training to new joiner. Will be more compliance compare to other banks Management keeps chasing the target,3,PFC,Johor,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Ocbc-3/reviews
2 July 2024,Good and productive place,"Open to feedback, work life balance culture, slow increment and promotion. management is competent. Need to review the benefits structure, transparency of promotion",4,AVP,Kuala Lumpur,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Ocbc-3/reviews
23 May 2024,Good staff benefit and learning place,"Good staff benefit and learning place. Can learn alot of financial knowledge and pitching skill. Other than that, it train your multitasking skill as well",5,personal financial consultant,Puchong,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Ocbc-3/reviews
22 April 2024,stressful but flexible schedule,"selling sme loan by looking for your own cases are hectic having a good leader to guide you along the way as a freshie would help out a lot nonetheless, good benefits and flexible work schedule",3,bdm,pj,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Ocbc-3/reviews
