review_date,review_title,review_body_text,overall_review_rating,job_title,location,employee_flag,rating_work_life_balance,rating_compensation_benefits,rating_job_security_advancement,rating_management,rating_culture_values,pros_text,cons_text,page_number,start_offset,source_url
1 March 2026,Really good,"A typical day at work and i believe i've learned a lot of skills such as communicating, more time managing and stuff like that and the work place is rwally good",5,,,former,5,5,5,5,5,,,1,0,https://malaysia.indeed.com/cmp/Rhb-Bank-Berhad/reviews
9 February 2026,"Work culture is good, learning a lots, getting lots of knowledge of product.","Having teatime among us, celebration birthday and also we will do decorations for all the festivals...team work is going well with team members, management is good❤️ Together progress 🙂",5,Written Off collections Personal Loan,Kuala Lumpur,former,5,5,5,5,5,Fo far No,So far No,1,0,https://malaysia.indeed.com/cmp/Rhb-Bank-Berhad/reviews
6 February 2026,Stressful if cannot hit sales target,Management will keep pushing for sales even though the product is not great and detrimental to buyers. Micro-management will happen if u dont hit ur target,3,Personal Banker,,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Rhb-Bank-Berhad/reviews
3 February 2026,Not bad environment,"The work environment in the department varies from all function. For me, I am under the Group Internal Audit function. The environment is not bad. My CIA and Head of Department is great, however I will say otherwise for my current supervisor",4,Senior Manager,,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Rhb-Bank-Berhad/reviews
12 January 2026,Flexible Workplace,"Could be working from home most of the time. It depends on the manager, some require the staffs to work from office. some department are more flexible.",3,,,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Rhb-Bank-Berhad/reviews
11 January 2026,Very poor management,Very poor management. Not welcoming the newcomers. Unproper training. Expect us to get the highest more KPI than in JD. Leads not approachable. Sometimes they just recycle the leads to call the same customer. They will pressuring you until you resigned on your own.,1,Sales Consultant,Tun Razak Exchange,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Rhb-Bank-Berhad/reviews
14 December 2025,Bossy,"Not support newcommer.On a personal level, they are approachable and supportive, creating a friendly and collaborative environment. They genuinely care about the team’s well-being and motivate us with positivity and encouragement. This balance of professionalism and human touch makes working under them both inspiring and enjoyable",3,Sale,Ipoh,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Rhb-Bank-Berhad/reviews
8 December 2025,"Moderate work load, not So much benefit , but still free of mind","If you need to a higher career development and lots benefits, can option with other company. But if you want to go for a reasonable and just normal job free of mind can go to here",3,Executive,Kuala Lumpur,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Rhb-Bank-Berhad/reviews
28 October 2025,fun to work with,"good working environment but slow pace. many approval structure , compliances and hierarch to meet. very tedious job . But the people is fun and willing to share the experiences.",2,sales,Kuala Lumpur,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Rhb-Bank-Berhad/reviews
23 October 2025,Enjoyable,"What is the best part of working at the company? The best part of working at RHB was the supportive work environment and strong teamwork among colleagues. The management encouraged growth, provided continuous training, and valued employees’ contributions, making it a great place to build a long term career. What is the most stressful part about working at the company? As with any banking role, there were moments of pressure during peak periods or when meeting targets, but the management and team support made it manageable. The challenges helped me build resilience and improve my time management skills. What is the work environment and culture like at the company? The work culture was friendly, supportive, and team driven. Everyone worked together towards common goals, and the management valued hard work and integrity. What is a typical day like for you at the company? Every day was focused on serving clients, achieving sales goals, and supporting the team. It was a busy but enjoyable routine that kept me motivated and constantly learning.",5,PERSONAL BANKER,Johor Bahru,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Rhb-Bank-Berhad/reviews
