review_date,review_title,review_body_text,overall_review_rating,job_title,location,employee_flag,rating_work_life_balance,rating_compensation_benefits,rating_job_security_advancement,rating_management,rating_culture_values,pros_text,cons_text,page_number,start_offset,source_url
30 January 2026,Sales oriented working culture,"Focus on offline events and activities to drive business. Highly sales oriented culture, performance measurement more focus on individual contributor, event for non sales staff",3,Vice President,Malaysia,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews
28 January 2026,Good place to start your career,"Nice place to start your career, however lack of guidance and training provided. No clear goal setup by my immediate manager. Salary below market average",2,Manager,Kuala Lumpur,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews
15 September 2025,Good benefit but high volume,"A lot of parties or events, good for extrovert but not a good thing for introverts. Still a lot of manual work and very volume based KPI. Team lead quality is average. Good benefits like flexcare.",3,Credit Analyst,Kuala Lumpur,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews
29 August 2025,Rights by you both to the staff and customer,"What is the best part of working at the company? Comprehensive rewards and employee wellness. Employee recognition and culture. Learning, growth and inclusive culture What is the most stressful part about working at the company? As usual stress to get year enda target met. What is the work environment and culture like at the company? Rights by you, United-Work as one",5,OPERATIONS OFFICER,Kuala Terengganu,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews
19 August 2025,It's a great place to work... but the supervisors...,"I worked here before and the work load is quite ok and bearable. Only 'some' supervisor are really getting on your nerve... overall, it's a good place to work",5,Bank Clerk,Sandakan,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews
5 August 2025,Benefit & environment,"The benefit are superb , you can claim everything for personal things ie hotel , flight ticket , sport & etc. But for working environment, quiet tough. The pressure unbelievable.",3,Manager,Kuala Lumpur,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews
23 May 2025,"While the job offered some valuable learning experiences, the overall environment at UOB Bank—particularly post-Citi Bank migration—was demoralizing.","A typical day was fast-paced, handling high volumes of customer issues with tight performance targets. I learned to manage pressure, improve my communication skills, and adapt quickly especially after the Citi Bank migration. Unfortunately, management was unresponsive and showed little concern for employee well-being. The culture was heavily politicized, with favoritism and internal politics often overshadowing merit and hard work. There was no work-life balance, and internal politics were overwhelming. Citi staff were treated poorly after the transition, which made things even harder. The hardest part was staying motivated in a toxic environment. The best part was helping customers and resolving their issues—it gave a real sense of accomplishment. Overall, not a supportive place to grow long-term.",2,Senior Executive Officer,Kuala Lumpur,former,2,3,2,1,1,,,1,0,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews
16 April 2025,No work life balance,No work life balance Pay is high Stressful working place Good benefit Politic environment Annual leave a lot Manager stress Long working hour Good place to learn,2,,,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews
25 February 2025,Staff Experience,"Poor management and leadership, with a lack of recognition for employees who go above and beyond their regular duties. During bonus and increment cycles, staff handling only BAU tasks often receive higher total compensation than those who take on additional responsibilities. Moreover, there is a lack of transparency in the compensation distribution process. Favoritism from both leadership and HRBP influences career growth, resulting in the same individuals receiving promotions every 2–3 years, while others are overlooked. Despite implementing 360-degree feedback and the Employee Engagement Survey (EES), employee concerns remain unaddressed. The work environment is highly political and toxic, with poor work-life balance. The recent acquisition of Citi’s business appears to have been poorly managed, leading to a hiring freeze post-merger. As a result, employees are now handling workloads far beyond their capacity, yet compensation remains minimal, with low increments and bonuses. While it is understandable that the bank must demonstrate profitability to shareholders, it is crucial to acknowledge the efforts of employees who drive this success.",1,Senior Executive,Kuala Lumpur,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews
11 February 2025,Great company to work for,Good company to work for. Great benefits and team. Sufficient AL provided. Unlimited health benefits. Flex care provided with more than 10 categories claimable,4,Senior Officer,Kuala Lumpur,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews
6 February 2025,Great environment but poor management,"Colleagues are supportive and helpful but management is poor. Impose very strict and lousy rules and most of the time, very pushy and keep forcing staffs to perform OTs.",3,Banking Officer,Kuala Lumpur,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews
4 February 2025,A bit challenging,fun workplace if got some friends shift schedule rotate every two weeks good team leader training sometime not enough time good salary and benefit OT they paid salary on time,4,customer service officer,Kuala Lumpur,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews
20 January 2025,Best place to learn new things but low pay basic salary,'-Good vibe working here but the basic salary that this company offer was to low. -The workload that you must do was not worth it by the salary offer - Have nice benefit compare to other company,3,Sales executive,Kuala Lumpur,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews
18 January 2025,Productive and fun workplace,So far so good. No complaint. Good colleagues and the task can be conducted efficiently. Everyday supply of snacks in the pantry. I love the office environment where it has provided some entertainment space for fun & release stress.,4,Compliance,Kuala Lumpur,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews
8 December 2024,Will find a good friend. Everyone will fell the same as you. But overall very bad Team Leader manager. Always pass the job back to you,"If you fresh graduate and want to learn a new skill. Please try this position as you will improve you thinking skill and communication skill. Don't push yourself to hard, but learn and try to slowly to improve your future. Good to try as probation only hahaha. Anyways I find many good friends.",2,CONTACT CENTER,Kuala Lumpur,former,3,4,2,1,1,Have graduate and certification if pass the exam and roleplay,Only give short break,1,0,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews
25 November 2024,"Fast paced, great opportunity but no career growth",Good working enviroment but no promotion. Had to leave after 1 year contract. Also micromanagement exist when manager only trust the leader not knowing the real problem from colleague.,3,Contract Officer,Kuala Lumpur,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews
6 October 2024,Workplace,Please don’t work here this company is really give a mental health issue and they will demand you to pay 2500 for this job who have slow system and everything look old. I regret joining them. Try other company,1,Customer service officer,Kuala Lumpur,former,1,1,1,1,1,,,1,0,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews
4 October 2024,Worst management,"Bad management and worst banking system i had ever work for. The lunch break is on 45 minutes, short break applicable only 15 minutes, the management syok sendiri!",1,Customer Service Officer,Kuala Lumpur,former,1,5,5,1,1,Unlimited medical coverage,"Short break, management suck",1,0,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews
25 September 2024,Overall ok,'- can be very stress if you can't hit the sales target - usually will stay until 7pm ++ to do cold calling - need to attend branch morning briefing every day - company willing to provide training to staffs to help us to development softskills - salary at average & quite many campaigns for staff to earn commision,4,Personal Banker,Malaysia,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews
17 September 2024,Productive,"Corporate style with multiple hierarchy, you get to survive if you have a strong mentality to cope stress. Stability is there just that need to work hard and sometimes luck.",4,Sales Executive,Kuala lumpur,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews
12 September 2024,Good environment,"Most people here are around your age so you’ll definitely be able to get along with everyone there. High salary, especially for fresh graduates who intend to work here",3,Customer Service Operator,Ampang,current,0,0,0,0,0,,,2,20,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews?start=20
29 July 2024,Productive and good place to learn,Good place and suitable for a starter or fresh graduate. Supportive colleagues as they always show the guidance towards the new employees. Able to learn a lot of valuable knowledges of how bank operations works on daily basis.,4,Account maintenance service,Kuala Lumpur,former,0,0,0,0,0,,,2,20,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews?start=20
20 July 2024,Stressful and Rigid,"Stress and rigid working environment without system and computers upgrade. Software are outdated, payment system is slow and 90s era. Management level is rigid and has no one to one communication. This",3,Treasury Specialist,Kuala Lumpur,former,4,2,2,3,2,Friendly colleagues,Long hours,2,20,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews?start=20
23 April 2024,Good Workplace but Overload Task,"Operation Team negative: Lack of staff lead to task overloaded, will be under pressure a lot. Need to cover the task for the colleague that take leave. Need to do a lot of OT but intern/trainee did not get paid OT. positive: The allowance was good. The colleagues are friendly. The environment was okay. Strategic location. If finish work early, can go shopping at Jalan Tar.",4,Intern/Trainee,Kuala Lumpur,former,0,0,0,0,0,,,2,20,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews?start=20
16 April 2024,The worst place and management I've ever experienced,"What is the best part of working at the company? Very toxic management style. Worst place I've ever worked at What is the most stressful part about working at the company? The job itself is stressful (the flow, the calls, the volume). The management doesn't help, but adds more stress What is the work environment and culture like at the company? Toxic, bad, negative. Simply appalling",1,Senior Customer Service Officer,Kuala Lumpur,former,0,0,0,0,0,,,2,20,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews?start=20
9 April 2024,Bad experience,"Wished I check glassdoor reviews before joining. Colleagues are nice, some team leaders aren't helpful at all and will look down on you if you don't know certain things. Management doesn't care about you.",1,Customer Service Officer,Kuala Lumpur,current,0,0,0,0,0,,,2,20,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews?start=20
18 March 2024,good for learning something new,"good colleagues, good environment and good management. No toxic and eventho you were overwhelmed with heavy workloads, but its okay. The team really supportive and helpful especially when youre having trouble/problem in your work. You can learn a lot from the team. I miss my teamates so much.",1,fraud analyst,Kuala Lumpur,former,0,0,0,0,0,,,2,20,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews?start=20
7 March 2024,Good company,"Overall ok, management ok, benefits ok, paid on time , supportive team, good bank, good allowance, good salary, good benefits, good system, treat us fairly ,",5,Personal wealth executive,Kuala Lumpur,former,0,0,0,0,0,,,2,20,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews?start=20
