review_date,review_title,review_body_text,overall_review_rating,job_title,location,employee_flag,rating_work_life_balance,rating_compensation_benefits,rating_job_security_advancement,rating_management,rating_culture_values,pros_text,cons_text,page_number,start_offset,source_url
8 March 2026,Comprehensive benefits with concerns over operational balance and promotion fairness,"I spent more than 10 years at Bank Islam and found the benefits to be quite comprehensive. The work culture is generally positive with supportive and fun colleagues, and the bank offers good flexibility through work-from-home arrangements for specific departments. However, there are significant challenges regarding work-life balance, particularly in operations where the workload is often overwhelming. Since 2021, the bonus payouts (averaging 2 months) have not felt commensurate with the level of effort required. Furthermore, the promotion structure appears to be heavily influenced by seniority and favoritism rather than clear meritocracy, which can be discouraging for high-performers. Additionally, top management often feels disconnected from ground-level operational reality. While it is a stable organization, the compensation-to-effort ratio and career progression transparency need improvement.",3,,,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Bank-Islam/reviews
11 February 2026,Good Hybrid working + flexible hours,"Working here you will have a flexible working hours, hybrid working (3 days office, 2 days WFH) depends on the department mostly Digital IT. Good place for learning.",4,IT analyst,Kuala Lumpur,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Bank-Islam/reviews
3 February 2026,"Overall, it has been a valuable and rewarding experience that has strengthened my skills and understanding of the role.","What is the best part of working at the company? Managing 17 staff and Data center facility What is the most stressful part about working at the company? Managing Staff and arrangement of shift work What is the work environment and culture like at the company? flexible and relax environment What is a typical day like for you at the company? A typical day for me usually starts with reviewing priorities and any urgent items from emails or system alerts. I then focus on my core responsibilities handling assigned tasks, resolving issues, and supporting ongoing projects.",3,IT Manager,Cyberjaya,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Bank-Islam/reviews
26 September 2025,An All-rounder benefits kind of company. Work-life balance on top!,"The best working place for intern. The allowance are great. All colleagues, team leaders and seniors are all great. The work-life balance here is to die for. One in a million.",5,Intern,"Menara Bank Islam, KL",former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Bank-Islam/reviews
9 September 2025,Good pay for OT,Pros: staff mostly friendly. Good OT pay. Staff got a lot of AL Cons: Management. Messy SOP No career advancement Old equipment Hard to apply for AL even got alot of it,3,Junior sales representative,KLIA,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Bank-Islam/reviews
19 August 2025,Fun,they really took a good care of their intern. computer provided allowance high and also have training to build intern knowledge to enter work enviroment,5,intern,,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Bank-Islam/reviews
30 June 2025,"No Guidance, No Space, and No Credit","This review is for most positions under the Deposit Department: Poor management, no proper space to meet clients, and zero guidance. Had to self-learn everything. Toxic culture—colleagues fought over customers, and superiors claimed credit for our hard work and performance. Stressful job with little support or recognition. High targets, but performance not fairly recognised. The most enjoyable part was achieving targets through my own effort, despite the lack of support. It gave me a sense of personal accomplishment, even if it wasn’t recognised by management.",1,Deposit Marketing Executive,,former,1,1,2,1,1,Learn to work independently. Personal growth through self-initiative.,"Poor management and lack of guidance; No proper workspace for meeting clients; Toxic, competitive environment; Superiors claim credit for your work ; High targets, but performance not fairly recognised; No commission or very minimal rewards; Constant stress, unclear roles, and no team support",1,0,https://malaysia.indeed.com/cmp/Bank-Islam/reviews
14 November 2024,Good experience,"I had a great experience working at Bank Islam. The environment was collaborative and supportive, with a strong focus on both employee development and customer satisfaction. The leadership team was approachable, and there were many opportunities to grow and learn within the organization. I especially appreciated the structured training programs and the emphasis on teamwork, which helped me develop valuable skills in financial services and customer relations. Overall, Bank Islam is an excellent place to work if you’re looking for a dynamic, professional, and rewarding workplace",4,Staff,Kuala Lumpur,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Bank-Islam/reviews
25 September 2024,Best colleagues but bad upper management,"Day to day work very easy, but need to be careful due to working with money after all. Bosses not supportive at all and keep pressure us without listen to our opinions.",3,Junior Sales,KLIA,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Bank-Islam/reviews
18 September 2024,Fun workplace,"Learning Experience: Gain a deep understanding of Islamic finance principles and practices. Professional Development: Opportunities for skill-building through workshops and mentorship. Networking: Connect with professionals in the banking industry, which can be beneficial for future career opportunities.",5,Internship,Kuala Lumpur,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Bank-Islam/reviews
27 August 2024,workplace culture,"as we all grew older, the first impression of ourselves is important when dealing with our client. but somehow i found some of workers loves to overdressed and indifference dress etiquette, also give a bad impression to the company.",3,credit,Sungai Dua,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Bank-Islam/reviews
21 July 2024,Nice place to work,Pro: -Great staff benefit. -Pleasant environment. -Good for fresh graduate as a learning centre Cons: -salary not balance -no benefits for staff working for so long -favoritism,4,Senior Associate,Kuala lumpur,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Bank-Islam/reviews
24 May 2024,"Good team, but salary to low at airport","Too many task appointed with very low salary. Company got a lot of profit every year, must increase salary & also the cost living there very high. .",2,Junior sales representative,KLIA,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Bank-Islam/reviews
