review_date,review_title,review_body_text,overall_review_rating,job_title,location,employee_flag,rating_work_life_balance,rating_compensation_benefits,rating_job_security_advancement,rating_management,rating_culture_values,pros_text,cons_text,page_number,start_offset,source_url
28 February 2026,Good workplace,Everything is good. The workplace is nice and people are also willing to help. The workplace and work-culture appreciate people who are working overtime.,5,software developer,Kuala Lumpur,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews
13 February 2026,Super Productive workplace,So much to learn here. Colleague is all nice but need to push for sales. All higher ups care is sales. Try banking if you love doing sales. Benefit is good. Have AL every month.,4,Intern,Sitiawan,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews
25 January 2026,Valuable Learning Experince,"A good place to learn and improve in. The enviroment is chill, collegues are kind and are willing to assist if faced with issues. Overall is a good oppertunity for an internship placement.",4,Intern,Kuala Lumpur,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews
5 December 2025,Fast paced environment,Fast paced environment and can learn a lot of new things. Pleasent people to work with. Great benefits and perks. Moderate level of work and life balance.,5,Exec,Kuala Lumpur,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews
2 December 2025,Traditional & change-averse company,"Not to say that all departments are like this but majority of leaders who has been with the bank >10years will have mentality like this. My advise is to ask a lot of questions during your interview so you can judge whether it is a good fit for you. Other than that, good benefits and bonus 😬",2,Project Manager,Kuala Lumpur,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews
11 November 2025,Fun,"My internship at Maybank was an incredibly valuable experience. I learned how a leading financial institution operates and gained hands-on exposure to real banking tasks. The team was supportive and always willing to guide me, which helped me develop both technical and communication skills. I was involved in data entry, customer service, and administrative work, which improved my attention to detail and time management. The working environment was professional yet friendly, making it easy to adapt and learn. Overall, my internship at Maybank gave me a strong foundation and clearer understanding of the banking industry.",5,Intern,Pahang,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews
15 October 2025,Perfect for learning,"A great place to learn and grow as an intern. The environment is supportive, with great leaders and amazing teammates who are always willing to help. There’s a good work-life balance, especially with the weekly work-from-home option. Things can get a bit hectic during system changes, but overall it’s a valuable and enjoyable learning experience.",4,Intern,,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews
4 October 2025,very good experience because can learn about work environment,What is the best part of working at the company? friendly staff and good environment. What is the most stressful part about working at the company? stress if there is any accidental mistake that we didn't notice and need to re do whole thing.,5,Credit Card Department (Internship) | Mac,Rengit,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews
18 August 2025,High kpi with fast pace,Need to achieve a high kpi with changing directions from upper management. Fast pace environment. Not supportive manager. However good environment and supportive team members,3,,,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews
8 August 2025,"Everything is great here, can learn so many things but do not become protege or join programme",Chances of you getting a job permanently is almost impossible. Please reconsider if you expecting to have stable career soon after graduation. In terms of learning and experience you might gain a lot but not appreciating protege or graduate lvl.,4,,,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews
18 July 2025,great,great co workers never stressful you can go home on time work life balance bosses are kind and they always check up on you they are also responsive of your inquiries,4,Protege,Kuantan,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews
7 July 2025,Good friend,"I would like to take this opportunity to express my heartfelt appreciation to my colleagues at Maybank Alor Setar who have been incredibly supportive and generous with their guidance since my very first day. Their willingness to share knowledge, their patience in teaching, and their constant encouragement have made a huge difference in my growth and confidence at work. They’re not just coworkers — they’ve become mentors who are always ready to help without hesitation. Every piece of advice and every small lesson has helped me improve and become more efficient in handling my responsibilities. I truly value the positive and professional work environment they create, filled with teamwork, respect, and mutual support. Thank you for being such wonderful teammates and for making my experience here so meaningful. I’m truly grateful, and I hope our bond continues to grow stronger as we move forward together.",5,Protege,Alor Setar,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews
6 May 2025,"Department-dependent, decent experience","My internship experience was okay overall. It really depends on which department you’re placed in—if you end up in the right one, it’s easier to fit in and there’s a better chance of getting absorbed into the company. The allowance was given based on the number of days you worked, which might not work for everyone expecting a fixed monthly pay. Honestly the people in my team are nice, but in terms of workloads there weren’t much that interns are allowed to do as it is customer’s privacy matters.",3,Internship Trainee,Menara Maybank,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews
13 March 2025,Good benefits,"Pro Good benefits to employee-insurance,bonus,allowances,increment,epf, staff loan, building facilities Cons Promoted next grade slow Too many expatriates",5,IT,Menara Maybank,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews
3 March 2025,Great for experience,"Maybank is a good place for fresh graduate, a lot you can learn and develop here. However, there is no work life balance that may make you exhausted. Need to always on standby mode.",4,Protege,Kuala Lumpur,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews
6 February 2025,Ok,Good environment good workplace excellent customer care service able to deliver customer satisfaction with care. Career enhancing and good vibes. Really enjoyed,5,Executive,Shah Alam,current,5,5,5,5,5,No,No,1,0,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews
24 December 2024,good place to work,"Great Work Environment: Employees often mention the inclusive and collaborative culture at Maybank. There is a strong sense of teamwork, and people enjoy working in a diverse, respectful, and supportive environment. Work-Life Balance: Many reviews highlight the company's efforts to maintain a good work-life balance. Employees appreciate the flexibility in working hours, the option for remote work (in some roles), and generous leave policies. Career Growth Opportunities: Maybank is known for offering career advancement opportunities. Employees often note that the company invests in their professional development, with various training programs and mentorship opportunities available to support career progression. Employee Benefits: Benefits packages are another strong point. Maybank offers competitive compensation, health insurance, retirement benefits, and wellness programs. Employees value these perks, which contribute to their overall job satisfaction. Leadership and Management: Many employees appreciate the approachable leadership at Maybank, noting that management is supportive and values open communication. The company fosters a culture of feedback, which helps employees feel heard and valued.",4,security engineer,kuala lumpur,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews
28 November 2024,Very productive,Maybank offers a fun and healthy work environment where employees were able to work and strive to be better everyday. The employees were very supportive.,5,CSR - Customer Service Representative,Perak,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews
6 October 2024,Great place to kickstart your career,"A typical day is fast-paced, full of learning opportunities. Great management, supportive culture. Hardest part: tight deadlines. Best part: teamwork!",5,Executivee,Kuala Lumpur,current,3,4,5,4,5,The people,,1,0,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews
5 October 2024,Fun place,A lot people that you can meet. Salary is quite ok but not too fancy. Bonus can be down to 2 months. But usually is 3 months. Management will be depends on your manager,4,Senior developer,Kuala Lumpur,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews
29 September 2024,ok to work,the working enviroment depends on the department. Good paying company and work life balance. the work is stress and if u can handle then you can work here,3,protege,menara maybank,current,0,0,0,0,0,,,2,20,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews?start=20
26 September 2024,Fun and new experience. Fresh,The best experience ever. Learnt a lot of new stuff and get a lot of help from higher ups regarding the work scope. Easy to apply. Able to learn about market,5,Assistant remisier,Bangsar,former,0,0,0,0,0,,,2,20,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews?start=20
2 August 2024,"no good when things happened eg, customer complaint there is no 1 to help u & support u. the company only side customer","no good when things happened eg, customer complaint there is no one to help u & support u. the company only side customer as they sacred in trouble",4,senior officer,Malaysia,former,1,5,5,1,1,benefit,no one hlp when things happened,2,20,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews?start=20
12 July 2024,Fun work place,Good environment and helpful colleagues. Gain a lot of benefits. Sometimes hard to dealing with customers. Overall it was a nice company to working with.,4,Protege,Selangor,former,0,0,0,0,0,,,2,20,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews?start=20
3 July 2024,Good workplace overall,"Overall it's a good workplace and there are many roles in the Bank where you can apply for swaps. Good pay and bonus, yet there's no work life balance.",5,Analyst,Kuala Lumpur,former,0,0,0,0,0,,,2,20,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews?start=20
17 June 2024,Progression Limited,"Can be limited progression, especially in a competitive environment. The quiet ones but really great working attitude tends to be left out n teased upon.",3,Manager,Malaysia,current,0,0,0,0,0,,,2,20,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews?start=20
22 May 2024,Decent Place to Start Your Internship,"Overall internship experience was good. There were a lot of event being held at Menara Maybank for the seasonal events, such as Chinese New Year and Christmas.",4,Intern,Menara Maybank,former,0,0,0,0,0,,,2,20,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews?start=20
18 May 2024,Good career progression opportunities,1. Good benefits 2. Good career progression opportunities 3. Freedom to be creative and develop solutions as long as it’s aligned with the bank’s values 4. Great environment 5. A lot of opportunities to learn and develop skills,5,Manager,Selangor,current,0,0,0,0,0,,,2,20,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews?start=20
6 May 2024,Good opportunity to learn,"Very good first job... blessed to have the opportunity to work at Maybank! Besides the steep learning curve, I had the opportunity to learn from very capable colleagues.",5,Investment Analyst,Kuala Lumpur,current,5,5,5,5,5,Learning curve,Learning curve,2,20,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews?start=20
21 April 2024,A good place to start but in term of job culture is slight disappointing,"Have a good company but not a good superior, learned a lot from senior and also from other tribe . in term of management, they want feedback but doesnt improve . Workplace culture, lots of overseas worker than local and overtime almost everyday. Not enough of staff so ask to do extra work. Enjoyable in term of benefit and good friends. Thats all",4,Test Analyst,Kuala Lumpur,former,3,5,3,2,3,Benefit,Always overtime,2,20,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews?start=20
15 April 2024,Good to work,Overall good. Nice colleagues and good place to learn. It's the largest bank in malaysia. Value employees and provide training and development as well as experiences,5,Intern,Kuala Lumpur,former,0,0,0,0,0,,,2,20,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews?start=20
31 March 2024,fun workplace,"nice colleague, best working environment, got training and seniors are willingly to teach you if you are lost or dumbfounded. hope to get a permanent job at maybank",5,Protege Trainee,Kuala Lumpur,current,0,0,0,0,0,,,2,20,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews?start=20
